variable,lag,referencia_temporal,n_comparable,mutual_information_target_clase,spearman_target_rx5day,abs_spearman_target_rx5day,es_mismo_mes_anio_anterior_del_objetivo
sdii_mm_per_wet_day,2,t-2,3732,0.027538786640627366,0.3023723544177948,0.3023723544177948,False
sdii_mm_per_wet_day,3,t-3,3732,0.0,0.14518102085797793,0.14518102085797793,False
sdii_mm_per_wet_day,4,t-4,3732,0.0,0.0320789801371983,0.0320789801371983,False
sdii_mm_per_wet_day,5,t-5,3732,0.008367703879396338,-0.008097830429058534,0.008097830429058534,False
sdii_mm_per_wet_day,6,t-6,3732,0.01603928240593122,0.015178779306026008,0.015178779306026008,False
sdii_mm_per_wet_day,7,t-7,3732,0.01772627449845743,0.09971278271433937,0.09971278271433937,False
sdii_mm_per_wet_day,8,t-8,3732,0.02781381007816308,0.22724002510039482,0.22724002510039482,False
sdii_mm_per_wet_day,9,t-9,3732,0.09368383022531734,0.39656076554025266,0.39656076554025266,False
sdii_mm_per_wet_day,10,t-10,3732,0.1589423047024261,0.5638447820438705,0.5638447820438705,False
sdii_mm_per_wet_day,11,t-11,3732,0.23327268317837757,0.6472744068686471,0.6472744068686471,True
sdii_mm_per_wet_day,12,t-12,3732,0.1661850813420378,0.5672831126245018,0.5672831126245018,False
cwd_days,0,t,3732,0.19024182219741648,0.5810340781571717,0.5810340781571717,False
cwd_days,1,t-1,3732,0.08968381470784492,0.4317104152396381,0.4317104152396381,False
cwd_days,2,t-2,3732,0.04044083392881315,0.2817742082524559,0.2817742082524559,False
cwd_days,3,t-3,3732,0.00481606210592167,0.15476508466962607,0.15476508466962607,False
cwd_days,4,t-4,3732,0.0,0.06662439660908583,0.06662439660908583,False
cwd_days,5,t-5,3732,0.022880767516246125,0.04134946132260039,0.04134946132260039,False
cwd_days,6,t-6,3732,0.01787891193632829,0.08478179216461602,0.08478179216461602,False
cwd_days,7,t-7,3732,0.013700726570351485,0.14799954114325747,0.14799954114325747,False
cwd_days,8,t-8,3732,0.04222800451489128,0.2598916919506586,0.2598916919506586,False
cwd_days,9,t-9,3732,0.08300788844396934,0.39180732615915437,0.39180732615915437,False
cwd_days,10,t-10,3732,0.13648673086624674,0.5175159137941193,0.5175159137941193,False
cwd_days,11,t-11,3732,0.18455541766210226,0.5774775600271713,0.5774775600271713,True
cwd_days,12,t-12,3732,0.12127444747442695,0.49776332381747684,0.49776332381747684,False
cdd_days,0,t,3732,0.16029005487191395,-0.5480636036227778,0.5480636036227778,False
cdd_days,1,t-1,3732,0.07175759001351323,-0.3910297047274038,0.3910297047274038,False
cdd_days,2,t-2,3732,0.010483746668374039,-0.24265440805209026,0.24265440805209026,False
cdd_days,3,t-3,3732,0.0,-0.13235008698962372,0.13235008698962372,False
cdd_days,4,t-4,3732,0.002180807199202661,-0.05961435422890669,0.05961435422890669,False
cdd_days,5,t-5,3732,0.00428713103488132,-0.05512190018541786,0.05512190018541786,False
cdd_days,6,t-6,3732,0.009967131805561191,-0.10946014415262174,0.10946014415262174,False
cdd_days,7,t-7,3732,0.02488231761595361,-0.19293123791011316,0.19293123791011316,False
cdd_days,8,t-8,3732,0.05543324274809036,-0.28078855588849805,0.28078855588849805,False
cdd_days,9,t-9,3732,0.08347937849518328,-0.391107510679887,0.391107510679887,False
cdd_days,10,t-10,3732,0.12154703756390539,-0.49745385336359993,0.49745385336359993,False
cdd_days,11,t-11,3732,0.1608170557377604,-0.5445315317748857,0.5445315317748857,True
cdd_days,12,t-12,3732,0.09972159921234613,-0.461113802846922,0.461113802846922,False
temperature_mean_c,0,t,3732,0.06108621378910817,0.11428217268886558,0.11428217268886558,False
temperature_mean_c,1,t-1,3732,0.03279920608897746,0.07070282353143545,0.07070282353143545,False
temperature_mean_c,2,t-2,3732,0.04343093233764117,0.005044532120668132,0.005044532120668132,False
temperature_mean_c,3,t-3,3732,0.05312208185508904,-0.059580279831496545,0.059580279831496545,False
temperature_mean_c,4,t-4,3732,0.0921010932016526,-0.10654649015897875,0.10654649015897875,False
temperature_mean_c,5,t-5,3732,0.1166083014286472,-0.1325823302475593,0.1325823302475593,False
temperature_mean_c,6,t-6,3732,0.10249721730331873,-0.12816574958679128,0.12816574958679128,False
temperature_mean_c,7,t-7,3732,0.08892069684018433,-0.094157218668687,0.094157218668687,False
temperature_mean_c,8,t-8,3732,0.05403583616304286,-0.0332130080333592,0.0332130080333592,False
temperature_mean_c,9,t-9,3732,0.03361818268857086,0.02952846702094706,0.02952846702094706,False
temperature_mean_c,10,t-10,3732,0.026370250037168308,0.07838400470751165,0.07838400470751165,False
temperature_mean_c,11,t-11,3732,0.04048937877203018,0.10034055032716009,0.10034055032716009,True
temperature_mean_c,12,t-12,3732,0.048353920084710955,0.0903390648374129,0.0903390648374129,False
dewpoint_mean_c,0,t,3732,0.059630118713916325,0.2096216124804709,0.2096216124804709,False
dewpoint_mean_c,1,t-1,3732,0.05260272988803294,0.11871271888146721,0.11871271888146721,False
dewpoint_mean_c,2,t-2,3732,0.04301611129491767,0.019961473966307153,0.019961473966307153,False
dewpoint_mean_c,3,t-3,3732,0.07167977692604888,-0.06390177888146793,0.06390177888146793,False
dewpoint_mean_c,4,t-4,3732,0.12688476750514566,-0.1205483666472303,0.1205483666472303,False
dewpoint_mean_c,5,t-5,3732,0.11893741987445106,-0.13302417592152105,0.13302417592152105,False
dewpoint_mean_c,6,t-6,3732,0.10221837154342661,-0.09880453446339321,0.09880453446339321,False
dewpoint_mean_c,7,t-7,3732,0.0655238574844379,-0.03531396179813215,0.03531396179813215,False
dewpoint_mean_c,8,t-8,3732,0.04323181326823766,0.05115753239477698,0.05115753239477698,False
dewpoint_mean_c,9,t-9,3732,0.05565804667497409,0.13410796158712618,0.13410796158712618,False
dewpoint_mean_c,10,t-10,3732,0.0642367822653438,0.197166681861246,0.197166681861246,False
dewpoint_mean_c,11,t-11,3732,0.06583843112645904,0.21343758787781797,0.21343758787781797,True
dewpoint_mean_c,12,t-12,3732,0.05884852754700742,0.1658137813007716,0.1658137813007716,False
relative_humidity_mean_pct,0,t,3732,0.07404369464661875,0.3873981429051222,0.3873981429051222,False
relative_humidity_mean_pct,1,t-1,3732,0.020601242419271415,0.20176747155934152,0.20176747155934152,False
relative_humidity_mean_pct,2,t-2,3732,0.0,0.061117402799622834,0.061117402799622834,False
relative_humidity_mean_pct,3,t-3,3732,0.008111975693806617,-0.030176778041508333,0.030176778041508333,False
relative_humidity_mean_pct,4,t-4,3732,0.013891945404620465,-0.08156245045030922,0.08156245045030922,False
relative_humidity_mean_pct,5,t-5,3732,0.006369435905960508,-0.06181208736968778,0.06181208736968778,False
relative_humidity_mean_pct,6,t-6,3732,0.0008167134859995429,0.023988326278689593,0.023988326278689593,False
relative_humidity_mean_pct,7,t-7,3732,0.008806893169514662,0.13105859557151378,0.13105859557151378,False
relative_humidity_mean_pct,8,t-8,3732,0.01424122469104594,0.23445637634181554,0.23445637634181554,False
relative_humidity_mean_pct,9,t-9,3732,0.06118221056561812,0.34819889917094327,0.34819889917094327,False
relative_humidity_mean_pct,10,t-10,3732,0.11314010492501336,0.42765705201678306,0.42765705201678306,False
relative_humidity_mean_pct,11,t-11,3732,0.10558677368368197,0.4250951236221373,0.4250951236221373,True
relative_humidity_mean_pct,12,t-12,3732,0.04754370975487854,0.29470135602473657,0.29470135602473657,False
wind_mean_ms,0,t,3732,0.21577682684293142,-0.609731511263931,0.609731511263931,False
wind_mean_ms,1,t-1,3732,0.14857950599850112,-0.509986516290315,0.509986516290315,False
wind_mean_ms,2,t-2,3732,0.11168640202052615,-0.39855160004542556,0.39855160004542556,False
wind_mean_ms,3,t-3,3732,0.10201683317947108,-0.30375446331890626,0.30375446331890626,False
wind_mean_ms,4,t-4,3732,0.09381972444853903,-0.24360829199377032,0.24360829199377032,False
wind_mean_ms,5,t-5,3732,0.08575043531236659,-0.22707886137592595,0.22707886137592595,False
wind_mean_ms,6,t-6,3732,0.06809328645592827,-0.2570165906186612,0.2570165906186612,False
wind_mean_ms,7,t-7,3732,0.07737250915940286,-0.31819695673464143,0.31819695673464143,False
wind_mean_ms,8,t-8,3732,0.09412305767256468,-0.4047766606170344,0.4047766606170344,False
wind_mean_ms,9,t-9,3732,0.15506935610154948,-0.5067259552042424,0.5067259552042424,False
wind_mean_ms,10,t-10,3732,0.21563896299364216,-0.59205429495485,0.59205429495485,False
wind_mean_ms,11,t-11,3732,0.25134452231465776,-0.6292198843534038,0.6292198843534038,True
wind_mean_ms,12,t-12,3732,0.18549242088717843,-0.5782211514717583,0.5782211514717583,False
surface_pressure_mean_hpa,0,t,3732,0.2846696760427674,-0.15181647408691393,0.15181647408691393,False
surface_pressure_mean_hpa,1,t-1,3732,0.2634284157922482,-0.14699826574831512,0.14699826574831512,False
surface_pressure_mean_hpa,2,t-2,3732,0.2129040991800819,-0.13506814851127888,0.13506814851127888,False
surface_pressure_mean_hpa,3,t-3,3732,0.18155259067896523,-0.12002778763677073,0.12002778763677073,False
surface_pressure_mean_hpa,4,t-4,3732,0.19630990905019896,-0.10565953651926603,0.10565953651926603,False
surface_pressure_mean_hpa,5,t-5,3732,0.24924466711452098,-0.09462044544431125,0.09462044544431125,False
surface_pressure_mean_hpa,6,t-6,3732,0.24310202486441668,-0.09102873326090329,0.09102873326090329,False
surface_pressure_mean_hpa,7,t-7,3732,0.22773715836072217,-0.09400158830275918,0.09400158830275918,False
surface_pressure_mean_hpa,8,t-8,3732,0.2016833998529568,-0.10634251155418246,0.10634251155418246,False
surface_pressure_mean_hpa,9,t-9,3732,0.19537473721484466,-0.12122583614071537,0.12122583614071537,False
surface_pressure_mean_hpa,10,t-10,3732,0.21668975694784964,-0.13520502991173322,0.13520502991173322,False
surface_pressure_mean_hpa,11,t-11,3732,0.26463644242915274,-0.14486721551384957,0.14486721551384957,True
surface_pressure_mean_hpa,12,t-12,3732,0.24510491482594454,-0.1447169360395503,0.1447169360395503,False
