mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__gamma,param_preprocess__num__selector__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.7887957096099854,0.15792102481525416,0.10373514890670776,0.030092864127212904,10,0.05,10,"{'model__C': 10, 'model__gamma': 0.05, 'preprocess__num__selector__k': 10}",0.6601272887822596,0.6848081731250049,0.7167874631501124,0.6751113077400698,0.6842085581993617,0.020763020544391237,11
0.812877357006073,0.1865019091137573,0.1042436957359314,0.025141848729481817,10,0.05,15,"{'model__C': 10, 'model__gamma': 0.05, 'preprocess__num__selector__k': 15}",0.6619794736497422,0.6525573597421503,0.7183434777419739,0.6800689385651331,0.6782373124247499,0.025177552711618614,21
0.8786673545837402,0.19971276608662944,0.1078842282295227,0.026663071367536005,10,0.05,20,"{'model__C': 10, 'model__gamma': 0.05, 'preprocess__num__selector__k': 20}",0.6651858530699619,0.68443119369578,0.7097056541049388,0.6582554078482571,0.6793945271797344,0.01995545796980028,19
0.9391447901725769,0.25174757934959274,0.11737316846847534,0.03457571707496046,10,0.05,25,"{'model__C': 10, 'model__gamma': 0.05, 'preprocess__num__selector__k': 25}",0.6820943320943321,0.6715792740775851,0.6930634315660215,0.676019440617145,0.680689119588771,0.008060604909555937,16
0.9712378978729248,0.2667534108779226,0.1215125322341919,0.03045307863551804,10,0.05,all,"{'model__C': 10, 'model__gamma': 0.05, 'preprocess__num__selector__k': 'all'}",0.6684716222126568,0.6605889724310776,0.7199895597055596,0.6503083326730971,0.6748396217555978,0.0268511334271198,23
0.8390660285949707,0.2014597203850011,0.09841650724411011,0.026205850545640005,30,scale,10,"{'model__C': 30, 'model__gamma': 'scale', 'preprocess__num__selector__k': 10}",0.6545998802986271,0.6842261173193159,0.722230138990375,0.6665108487017486,0.6818917463275167,0.02556390606726362,15
0.9279985427856445,0.22857595786067123,0.10354286432266235,0.02582392965747851,30,scale,15,"{'model__C': 30, 'model__gamma': 'scale', 'preprocess__num__selector__k': 15}",0.6647004948374812,0.6594871063154645,0.7119924222915648,0.6612437639350824,0.6743559468448982,0.021810225794711903,24
0.961269199848175,0.23226731257533226,0.10760241746902466,0.02619454263357428,30,scale,20,"{'model__C': 30, 'model__gamma': 'scale', 'preprocess__num__selector__k': 20}",0.65841560337552,0.6836469079234732,0.7095275978254701,0.6403121567605757,0.6729755664712598,0.026119051398290766,25
1.002025067806244,0.2748093813705056,0.10983878374099731,0.03276485602561156,30,scale,25,"{'model__C': 30, 'model__gamma': 'scale', 'preprocess__num__selector__k': 25}",0.6621874299844338,0.6596647693810859,0.6943402201103824,0.6482917796754549,0.6661210497878393,0.017112578472292198,28
1.0627668499946594,0.26714655442814594,0.10736513137817383,0.02881075087129743,30,scale,all,"{'model__C': 30, 'model__gamma': 'scale', 'preprocess__num__selector__k': 'all'}",0.6669984650990187,0.649791732460698,0.6994642352791051,0.660676952955287,0.6692328464485271,0.018507360408740483,27
