mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_preprocess__num__selector__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
3.750073194503784,0.22035269721128026,0.04609280824661255,0.0076310493890581355,0.08,3,10,"{'model__learning_rate': 0.08, 'model__max_depth': 3, 'preprocess__num__selector__k': 10}",0.6275515104980237,0.6864735953108045,0.7037843918472296,0.6782455815112048,0.6740137697918157,0.02836453312960511,13
3.7532787322998047,0.296589235241275,0.048309326171875,0.009394454117300858,0.08,3,15,"{'model__learning_rate': 0.08, 'model__max_depth': 3, 'preprocess__num__selector__k': 15}",0.6458671083504717,0.6870849889002021,0.7072785272301011,0.6747029185631744,0.6787333857609873,0.02225427617978328,10
3.7524086236953735,0.0861095563057514,0.03987014293670654,0.010212668199386592,0.08,3,20,"{'model__learning_rate': 0.08, 'model__max_depth': 3, 'preprocess__num__selector__k': 20}",0.6407181276855426,0.6877345827705138,0.6966670629032253,0.6745824185949059,0.6749255479885469,0.021254588824522073,12
3.6646984815597534,0.04462721131797996,0.03733319044113159,0.005381668594518664,0.08,3,25,"{'model__learning_rate': 0.08, 'model__max_depth': 3, 'preprocess__num__selector__k': 25}",0.6218085257460392,0.6696910630125742,0.694073867546575,0.652054648006065,0.6594070260778133,0.026340349293451498,20
4.1115365624427795,0.46864129136646626,0.044036269187927246,0.006045137384187912,0.08,3,all,"{'model__learning_rate': 0.08, 'model__max_depth': 3, 'preprocess__num__selector__k': 'all'}",0.6808176348470326,0.7086921163835121,0.7246696891911414,0.7114181223251289,0.7063993906867038,0.01595833871100889,1
6.430691182613373,1.1320896208914624,0.07896286249160767,0.009501724235545735,0.08,6,10,"{'model__learning_rate': 0.08, 'model__max_depth': 6, 'preprocess__num__selector__k': 10}",0.6053550775489023,0.6901992281424906,0.692213107462054,0.671352837473858,0.6647800626568262,0.035260587577157644,18
8.617465496063232,0.6398925892720668,0.08185380697250366,0.008941916211525451,0.08,6,15,"{'model__learning_rate': 0.08, 'model__max_depth': 6, 'preprocess__num__selector__k': 15}",0.6207399240852877,0.6723088895486401,0.677695332751666,0.6703532445126951,0.6602743477245722,0.02298301399504382,19
9.384232759475708,0.33303722414690345,0.07685601711273193,0.010810374710804972,0.08,6,20,"{'model__learning_rate': 0.08, 'model__max_depth': 6, 'preprocess__num__selector__k': 20}",0.6432086088306074,0.6835218702865761,0.6754944310294864,0.6605004344269445,0.6656813361434036,0.015382186980626914,17
9.996714651584625,0.2540720430291762,0.05406081676483154,0.012309382484443165,0.08,6,25,"{'model__learning_rate': 0.08, 'model__max_depth': 6, 'preprocess__num__selector__k': 25}",0.6522909562122504,0.6848388273252929,0.6864363963617963,0.6405656815655347,0.6660329653662186,0.020046108102243807,16
10.347814738750458,0.5114929397770026,0.030332744121551514,0.007667902773260796,0.08,6,all,"{'model__learning_rate': 0.08, 'model__max_depth': 6, 'preprocess__num__selector__k': 'all'}",0.6805082296044236,0.7203472968119594,0.6851776120735744,0.696787583312406,0.6957051804505908,0.01541251525283977,4
