modelo,fold,caracteristica,tipo_seleccion
XGBoost,1,region_Litoral,contexto_categorico_siempre
XGBoost,1,region_Sierra,contexto_categorico_siempre
XGBoost,2,prcptot_mm,SelectKBest_MI
XGBoost,2,rx5day_mm,SelectKBest_MI
XGBoost,2,max_3h_mm,SelectKBest_MI
XGBoost,2,sdii_mm_per_wet_day,SelectKBest_MI
XGBoost,2,r20mm_days,SelectKBest_MI
XGBoost,2,cwd_days,SelectKBest_MI
XGBoost,2,cdd_days,SelectKBest_MI
XGBoost,2,temperature_mean_c,SelectKBest_MI
XGBoost,2,relative_humidity_mean_pct,SelectKBest_MI
XGBoost,2,wind_mean_ms,SelectKBest_MI
XGBoost,2,surface_pressure_mean_hpa,SelectKBest_MI
XGBoost,2,latitud_solicitada,SelectKBest_MI
XGBoost,2,longitud_solicitada,SelectKBest_MI
XGBoost,2,target_month_sin,SelectKBest_MI
XGBoost,2,target_month_cos,SelectKBest_MI
XGBoost,2,prcptot_mm__lag1,SelectKBest_MI
XGBoost,2,prcptot_mm__lag11,SelectKBest_MI
XGBoost,2,rx5day_mm__lag1,SelectKBest_MI
XGBoost,2,rx5day_mm__lag11,SelectKBest_MI
XGBoost,2,max_3h_mm__lag1,SelectKBest_MI
XGBoost,2,max_3h_mm__lag11,SelectKBest_MI
XGBoost,2,sdii_mm_per_wet_day__lag1,SelectKBest_MI
XGBoost,2,sdii_mm_per_wet_day__lag11,SelectKBest_MI
XGBoost,2,r20mm_days__lag1,SelectKBest_MI
XGBoost,2,r20mm_days__lag11,SelectKBest_MI
XGBoost,2,cwd_days__lag1,SelectKBest_MI
XGBoost,2,cwd_days__lag11,SelectKBest_MI
XGBoost,2,cdd_days__lag1,SelectKBest_MI
XGBoost,2,cdd_days__lag11,SelectKBest_MI
XGBoost,2,temperature_mean_c__lag1,SelectKBest_MI
XGBoost,2,temperature_mean_c__lag11,SelectKBest_MI
XGBoost,2,relative_humidity_mean_pct__lag1,SelectKBest_MI
XGBoost,2,relative_humidity_mean_pct__lag11,SelectKBest_MI
XGBoost,2,wind_mean_ms__lag1,SelectKBest_MI
XGBoost,2,wind_mean_ms__lag11,SelectKBest_MI
XGBoost,2,surface_pressure_mean_hpa__lag1,SelectKBest_MI
XGBoost,2,surface_pressure_mean_hpa__lag11,SelectKBest_MI
XGBoost,2,region_Amazonía,contexto_categorico_siempre
XGBoost,2,region_Litoral,contexto_categorico_siempre
XGBoost,2,region_Sierra,contexto_categorico_siempre
XGBoost,3,prcptot_mm,SelectKBest_MI
XGBoost,3,rx5day_mm,SelectKBest_MI
XGBoost,3,max_3h_mm,SelectKBest_MI
XGBoost,3,sdii_mm_per_wet_day,SelectKBest_MI
XGBoost,3,r20mm_days,SelectKBest_MI
XGBoost,3,cwd_days,SelectKBest_MI
XGBoost,3,cdd_days,SelectKBest_MI
XGBoost,3,temperature_mean_c,SelectKBest_MI
XGBoost,3,relative_humidity_mean_pct,SelectKBest_MI
XGBoost,3,wind_mean_ms,SelectKBest_MI
XGBoost,3,surface_pressure_mean_hpa,SelectKBest_MI
XGBoost,3,latitud_solicitada,SelectKBest_MI
XGBoost,3,longitud_solicitada,SelectKBest_MI
XGBoost,3,target_month_sin,SelectKBest_MI
XGBoost,3,target_month_cos,SelectKBest_MI
XGBoost,3,prcptot_mm__lag1,SelectKBest_MI
XGBoost,3,prcptot_mm__lag11,SelectKBest_MI
XGBoost,3,rx5day_mm__lag1,SelectKBest_MI
XGBoost,3,rx5day_mm__lag11,SelectKBest_MI
XGBoost,3,max_3h_mm__lag1,SelectKBest_MI
XGBoost,3,max_3h_mm__lag11,SelectKBest_MI
XGBoost,3,sdii_mm_per_wet_day__lag1,SelectKBest_MI
XGBoost,3,sdii_mm_per_wet_day__lag11,SelectKBest_MI
XGBoost,3,r20mm_days__lag1,SelectKBest_MI
XGBoost,3,r20mm_days__lag11,SelectKBest_MI
XGBoost,3,cwd_days__lag1,SelectKBest_MI
XGBoost,3,cwd_days__lag11,SelectKBest_MI
XGBoost,3,cdd_days__lag1,SelectKBest_MI
XGBoost,3,cdd_days__lag11,SelectKBest_MI
XGBoost,3,temperature_mean_c__lag1,SelectKBest_MI
XGBoost,3,temperature_mean_c__lag11,SelectKBest_MI
XGBoost,3,relative_humidity_mean_pct__lag1,SelectKBest_MI
XGBoost,3,relative_humidity_mean_pct__lag11,SelectKBest_MI
XGBoost,3,wind_mean_ms__lag1,SelectKBest_MI
XGBoost,3,wind_mean_ms__lag11,SelectKBest_MI
XGBoost,3,surface_pressure_mean_hpa__lag1,SelectKBest_MI
XGBoost,3,surface_pressure_mean_hpa__lag11,SelectKBest_MI
XGBoost,3,region_Amazonía,contexto_categorico_siempre
XGBoost,3,region_Litoral,contexto_categorico_siempre
XGBoost,3,region_Sierra,contexto_categorico_siempre
XGBoost,4,prcptot_mm,SelectKBest_MI
XGBoost,4,rx5day_mm,SelectKBest_MI
XGBoost,4,max_3h_mm,SelectKBest_MI
XGBoost,4,sdii_mm_per_wet_day,SelectKBest_MI
