zone_id,target_period_start,fold,modelo,y_real,y_pred
salinas,2006-03-01,1,Logistic_Regression,Media,Media
tena,2006-03-01,1,Logistic_Regression,Alta,Alta
babahoyo,2006-04-01,1,Logistic_Regression,Alta,Alta
cuenca,2006-04-01,1,Logistic_Regression,Media,Media
esmeraldas,2006-04-01,1,Logistic_Regression,Media,Alta
guayaquil,2006-04-01,1,Logistic_Regression,Media,Alta
loja,2006-04-01,1,Logistic_Regression,Media,Media
machala,2006-04-01,1,Logistic_Regression,Media,Alta
portoviejo,2006-04-01,1,Logistic_Regression,Baja,Alta
puyo,2006-04-01,1,Logistic_Regression,Media,Media
quito,2006-04-01,1,Logistic_Regression,Alta,Alta
riobamba,2006-04-01,1,Logistic_Regression,Media,Media
salinas,2006-04-01,1,Logistic_Regression,Baja,Baja
tena,2006-04-01,1,Logistic_Regression,Alta,Alta
babahoyo,2006-05-01,1,Logistic_Regression,Alta,Alta
cuenca,2006-05-01,1,Logistic_Regression,Baja,Media
esmeraldas,2006-05-01,1,Logistic_Regression,Media,Baja
guayaquil,2006-05-01,1,Logistic_Regression,Media,Media
loja,2006-05-01,1,Logistic_Regression,Baja,Media
machala,2006-05-01,1,Logistic_Regression,Baja,Baja
portoviejo,2006-05-01,1,Logistic_Regression,Baja,Baja
puyo,2006-05-01,1,Logistic_Regression,Alta,Media
quito,2006-05-01,1,Logistic_Regression,Alta,Alta
riobamba,2006-05-01,1,Logistic_Regression,Media,Media
salinas,2006-05-01,1,Logistic_Regression,Baja,Baja
tena,2006-05-01,1,Logistic_Regression,Alta,Alta
babahoyo,2006-06-01,1,Logistic_Regression,Alta,Media
cuenca,2006-06-01,1,Logistic_Regression,Baja,Baja
esmeraldas,2006-06-01,1,Logistic_Regression,Media,Baja
guayaquil,2006-06-01,1,Logistic_Regression,Media,Baja
loja,2006-06-01,1,Logistic_Regression,Baja,Baja
machala,2006-06-01,1,Logistic_Regression,Baja,Baja
portoviejo,2006-06-01,1,Logistic_Regression,Baja,Baja
puyo,2006-06-01,1,Logistic_Regression,Media,Media
quito,2006-06-01,1,Logistic_Regression,Alta,Media
riobamba,2006-06-01,1,Logistic_Regression,Media,Baja
salinas,2006-06-01,1,Logistic_Regression,Baja,Baja
tena,2006-06-01,1,Logistic_Regression,Media,Alta
babahoyo,2006-07-01,1,Logistic_Regression,Media,Media
cuenca,2006-07-01,1,Logistic_Regression,Baja,Baja
esmeraldas,2006-07-01,1,Logistic_Regression,Media,Baja
guayaquil,2006-07-01,1,Logistic_Regression,Media,Baja
loja,2006-07-01,1,Logistic_Regression,Baja,Baja
machala,2006-07-01,1,Logistic_Regression,Baja,Baja
portoviejo,2006-07-01,1,Logistic_Regression,Baja,Baja
puyo,2006-07-01,1,Logistic_Regression,Media,Media
quito,2006-07-01,1,Logistic_Regression,Media,Media
riobamba,2006-07-01,1,Logistic_Regression,Baja,Baja
salinas,2006-07-01,1,Logistic_Regression,Baja,Baja
tena,2006-07-01,1,Logistic_Regression,Media,Media
babahoyo,2006-08-01,1,Logistic_Regression,Alta,Media
cuenca,2006-08-01,1,Logistic_Regression,Baja,Baja
esmeraldas,2006-08-01,1,Logistic_Regression,Baja,Baja
guayaquil,2006-08-01,1,Logistic_Regression,Media,Baja
loja,2006-08-01,1,Logistic_Regression,Baja,Baja
machala,2006-08-01,1,Logistic_Regression,Baja,Baja
portoviejo,2006-08-01,1,Logistic_Regression,Baja,Baja
puyo,2006-08-01,1,Logistic_Regression,Baja,Baja
quito,2006-08-01,1,Logistic_Regression,Media,Media
riobamba,2006-08-01,1,Logistic_Regression,Baja,Baja
salinas,2006-08-01,1,Logistic_Regression,Baja,Baja
tena,2006-08-01,1,Logistic_Regression,Media,Media
babahoyo,2006-09-01,1,Logistic_Regression,Alta,Media
cuenca,2006-09-01,1,Logistic_Regression,Baja,Baja
