modelo,k_features,fold,macro_f1,balanced_accuracy,recall_alta,f1_alta,recall_baja,f1_baja,recall_media,f1_media
Regresion_Logistica,100,F3,0.38699235543867777,0.3990003285305299,0.4755244755244755,0.44884488448844884,0.5,0.4416403785488959,0.2214765100671141,0.27049180327868855
Regresion_Logistica,100,F4,0.35926267999071043,0.3840925307564431,0.616504854368932,0.5194274028629857,0.4148936170212766,0.3929471032745592,0.12087912087912088,0.16541353383458646
Regresion_Logistica,120,F1,0.3313168313168313,0.3332908455077295,0.18095238095238095,0.2087912087912088,0.478494623655914,0.4494949494949495,0.3404255319148936,0.3356643356643357
Regresion_Logistica,120,F2,0.33278586298379903,0.34545894073098987,0.4108527131782946,0.35451505016722407,0.4305555555555556,0.4025974025974026,0.1949685534591195,0.24124513618677043
Regresion_Logistica,120,F3,0.3872534346668807,0.3990003285305299,0.4755244755244755,0.45182724252491696,0.5,0.4416403785488959,0.2214765100671141,0.2682926829268293
Regresion_Logistica,120,F4,0.3622667199386535,0.38582755810601294,0.6213592233009708,0.5192697768762677,0.40425531914893614,0.3877551020408163,0.13186813186813187,0.1797752808988764
Regresion_Logistica,150,F1,0.34196337383239417,0.343557647263893,0.19047619047619047,0.22099447513812154,0.478494623655914,0.4494949494949495,0.3617021276595745,0.3554006968641115
Regresion_Logistica,150,F2,0.34255433855450595,0.35379389920855475,0.40310077519379844,0.3501683501683502,0.4444444444444444,0.4129032258064516,0.2138364779874214,0.26459143968871596
Regresion_Logistica,150,F3,0.36737631042404456,0.37801527331728674,0.43356643356643354,0.4105960264900662,0.4857142857142857,0.43450479233226835,0.21476510067114093,0.2570281124497992
Regresion_Logistica,150,F4,0.35627282880779537,0.38044995698373096,0.6213592233009708,0.5150905432595574,0.39361702127659576,0.38144329896907214,0.12637362637362637,0.17228464419475656
Regresion_Logistica,192,F1,0.35679954469881797,0.3571613774770947,0.21904761904761905,0.25136612021857924,0.46236559139784944,0.441025641025641,0.3900709219858156,0.37800687285223367
Regresion_Logistica,192,F2,0.3420410235694769,0.350285619098695,0.3875968992248062,0.3389830508474576,0.4305555555555556,0.40789473684210525,0.23270440251572327,0.2792452830188679
Regresion_Logistica,192,F3,0.3626830808080808,0.37058478434317355,0.43356643356643354,0.41333333333333333,0.45,0.4090909090909091,0.22818791946308725,0.265625
Regresion_Logistica,192,F4,0.3482187441347963,0.3704313657835658,0.6019417475728155,0.5040650406504065,0.3829787234042553,0.37209302325581395,0.12637362637362637,0.1684981684981685
Random_Forest,40,F1,0.30171599528975107,0.3106012572038653,0.10476190476190476,0.12790697674418605,0.40860215053763443,0.41304347826086957,0.41843971631205673,0.36419753086419754
Random_Forest,40,F2,0.3418624215362713,0.3435107990834187,0.2868217054263566,0.2901960784313726,0.4166666666666667,0.39215686274509803,0.3270440251572327,0.3432343234323432
Random_Forest,40,F3,0.37441716931908103,0.3755506238727715,0.3356643356643357,0.3622641509433962,0.42857142857142855,0.3973509933774834,0.3624161073825503,0.36363636363636365
Random_Forest,40,F4,0.3705857936412133,0.37368577164073963,0.5048543689320388,0.4611973392461197,0.30851063829787234,0.332378223495702,0.3076923076923077,0.3181818181818182
Random_Forest,60,F1,0.30463899300468683,0.31156431458421846,0.11428571428571428,0.14201183431952663,0.45161290322580644,0.4375,0.36879432624113473,0.33440514469453375
Random_Forest,60,F2,0.3387812500748128,0.34272463556140603,0.2868217054263566,0.2868217054263566,0.4583333333333333,0.42443729903536975,0.2830188679245283,0.3050847457627119
Random_Forest,60,F3,0.3857339022323958,0.3867363061993934,0.3356643356643357,0.3622641509433962,0.42857142857142855,0.4067796610169492,0.3959731543624161,0.3881578947368421
Random_Forest,60,F4,0.35167728720602226,0.3540373246528999,0.46116504854368934,0.4318181818181818,0.2712765957446808,0.28895184135977336,0.32967032967032966,0.3342618384401114
Random_Forest,80,F1,0.29095881935384854,0.29828523493588693,0.10476190476190476,0.13253012048192772,0.43548387096774194,0.421875,0.3546099290780142,0.3184713375796178
