fase,modelo,config_id,macro_f1_cv_mean,macro_f1_cv_std,balanced_accuracy_cv_mean,recall_alta_cv_mean,seconds,params
B,XGBoost,10,0.3508530056437138,0.025342056988817387,0.35329086201448356,0.3109813062680527,11.7066124999983,"{""subsample"": 0.95, ""reg_lambda"": 2.0, ""reg_alpha"": 0.0, ""n_estimators"": 675, ""min_child_weight"": 3.0, ""max_depth"": 2, ""learning_rate"": 0.05, ""gamma"": 0.15000000000000002, ""colsample_bytree"": 1.0}"
B,XGBoost,12,0.34747035629547707,0.021167869540139505,0.3491359018248951,0.33871125299777366,14.456645699989167,"{""subsample"": 0.85, ""reg_lambda"": 10.0, ""reg_alpha"": 0.01, ""n_estimators"": 562, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.0625, ""gamma"": 0.15000000000000002, ""colsample_bytree"": 0.85}"
B,XGBoost,17,0.3457174986626338,0.02444124548750298,0.34665264797459233,0.32831901108600137,31.16753570000583,"{""subsample"": 0.75, ""reg_lambda"": 5.0, ""reg_alpha"": 0.01, ""n_estimators"": 315, ""min_child_weight"": 2.0, ""max_depth"": 6, ""learning_rate"": 0.05, ""gamma"": 0.085, ""colsample_bytree"": 1.0}"
B,XGBoost,25,0.34449240382636365,0.0360835090042924,0.34672418184614817,0.3366759999239114,34.485915199999,"{""subsample"": 1.0, ""reg_lambda"": 10.0, ""reg_alpha"": 0.001, ""n_estimators"": 450, ""min_child_weight"": 3.0, ""max_depth"": 6, ""learning_rate"": 0.037500000000000006, ""gamma"": 0.085, ""colsample_bytree"": 0.55}"
B,XGBoost,6,0.344482532397078,0.029471718596778048,0.3476848101160911,0.3086465859721674,5.445064100000309,"{""subsample"": 0.75, ""reg_lambda"": 20.0, ""reg_alpha"": 0.001, ""n_estimators"": 315, ""min_child_weight"": 5.0, ""max_depth"": 2, ""learning_rate"": 0.025, ""gamma"": 0.05, ""colsample_bytree"": 0.7}"
B,XGBoost,3,0.34429671174938237,0.022892107911442926,0.34544442724328767,0.31444807544378556,27.155997499998193,"{""subsample"": 0.85, ""reg_lambda"": 5.0, ""reg_alpha"": 0.01, ""n_estimators"": 315, ""min_child_weight"": 3.0, ""max_depth"": 6, ""learning_rate"": 0.037500000000000006, ""gamma"": 0.0125, ""colsample_bytree"": 0.7}"
B,XGBoost,7,0.3440758847622085,0.027983055670049224,0.34666191088345893,0.3086521629194919,12.025552000006428,"{""subsample"": 0.75, ""reg_lambda"": 2.0, ""reg_alpha"": 0.0, ""n_estimators"": 675, ""min_child_weight"": 2.0, ""max_depth"": 2, ""learning_rate"": 0.037500000000000006, ""gamma"": 0.025, ""colsample_bytree"": 0.95}"
B,XGBoost,22,0.3425010529562641,0.025743107534597368,0.3450517965045894,0.32573260073260074,26.484398200002033,"{""subsample"": 1.0, ""reg_lambda"": 2.0, ""reg_alpha"": 0.001, ""n_estimators"": 562, ""min_child_weight"": 2.0, ""max_depth"": 5, ""learning_rate"": 0.025, ""gamma"": 0.15000000000000002, ""colsample_bytree"": 0.55}"
B,XGBoost,15,0.3415969460552408,0.017729456769355844,0.3436019648080723,0.3338977722811545,15.523342899992713,"{""subsample"": 0.95, ""reg_lambda"": 20.0, ""reg_alpha"": 0.0, ""n_estimators"": 450, ""min_child_weight"": 2.0, ""max_depth"": 4, ""learning_rate"": 0.037500000000000006, ""gamma"": 0.15000000000000002, ""colsample_bytree"": 0.7}"
B,XGBoost,9,0.34143649379304714,0.03494396655318658,0.3445536641742269,0.31937686570222135,37.29926169999817,"{""subsample"": 1.0, ""reg_lambda"": 2.0, ""reg_alpha"": 0.01, ""n_estimators"": 450, ""min_child_weight"": 1, ""max_depth"": 6, ""learning_rate"": 0.025, ""gamma"": 0.025, ""colsample_bytree"": 0.55}"
B,XGBoost,16,0.34116508212197716,0.02917516819508597,0.3442589563250526,0.33074774063146156,10.162476099998457,"{""subsample"": 0.75, ""reg_lambda"": 50.0, ""reg_alpha"": 0.0, ""n_estimators"": 562, ""min_child_weight"": 1, ""max_depth"": 2, ""learning_rate"": 0.0625, ""gamma"": 0.085, ""colsample_bytree"": 0.85}"
B,XGBoost,4,0.33941932616754805,0.04277481550896387,0.3428557316392615,0.2888801516087585,10.116657000005944,"{""subsample"": 1.0, ""reg_lambda"": 10.0, ""reg_alpha"": 0.01, ""n_estimators"": 562, ""min_child_weight"": 3.0, ""max_depth"": 2, ""learning_rate"": 0.025, ""gamma"": 0.15000000000000002, ""colsample_bytree"": 0.95}"
B,XGBoost,13,0.3393998693125374,0.026225232005134987,0.34049743712304276,0.31500000526304434,61.86423500000092,"{""subsample"": 1.0, ""reg_lambda"": 10.0, ""reg_alpha"": 0.001, ""n_estimators"": 675, ""min_child_weight"": 2.0, ""max_depth"": 6, ""learning_rate"": 0.037500000000000006, ""gamma"": 0.025, ""colsample_bytree"": 0.85}"
B,XGBoost,11,0.33915181831220814,0.013302435019425544,0.3404513725935096,0.3134297929059726,22.364110100010294,"{""subsample"": 0.65, ""reg_lambda"": 20.0, ""reg_alpha"": 0.001, ""n_estimators"": 315, ""min_child_weight"": 1, ""max_depth"": 5, ""learning_rate"": 0.0625, ""gamma"": 0.05, ""colsample_bytree"": 0.85}"
B,XGBoost,8,0.33717979603787557,0.022532554660562698,0.3389450617586154,0.3229879080804798,20.266474600008223,"{""subsample"": 0.95, ""reg_lambda"": 2.0, ""reg_alpha"": 0.01, ""n_estimators"": 675, ""min_child_weight"": 1, ""max_depth"": 4, ""learning_rate"": 0.0625, ""gamma"": 0.085, ""colsample_bytree"": 0.55}"
B,XGBoost,14,0.33668287584872525,0.019159041860613037,0.33825643703193486,0.3370275092560033,11.62335229999735,"{""subsample"": 0.85, ""reg_lambda"": 20.0, ""reg_alpha"": 0.0, ""n_estimators"": 315, ""min_child_weight"": 3.0, ""max_depth"": 4, ""learning_rate"": 0.07500000000000001, ""gamma"": 0.15000000000000002, ""colsample_bytree"": 1.0}"
B,XGBoost,2,0.3354502882083186,0.012420510606742456,0.3370760309304066,0.3243513504633396,25.100521300002583,"{""subsample"": 0.95, ""reg_lambda"": 10.0, ""reg_alpha"": 0.01, ""n_estimators"": 675, ""min_child_weight"": 1, ""max_depth"": 4, ""learning_rate"": 0.07500000000000001, ""gamma"": 0.0125, ""colsample_bytree"": 0.95}"
B,XGBoost,23,0.3340189827304151,0.038120862428320766,0.33668362222403764,0.3154490876775817,12.551719000010053,"{""subsample"": 1.0, ""reg_lambda"": 5.0, ""reg_alpha"": 0.01, ""n_estimators"": 562, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.05, ""gamma"": 0.05, ""colsample_bytree"": 0.55}"
B,XGBoost,20,0.33304647804764304,0.011199351622633429,0.33527929958453107,0.31268890287856194,10.904031300000497,"{""subsample"": 0.65, ""reg_lambda"": 2.0, ""reg_alpha"": 0.001, ""n_estimators"": 315, ""min_child_weight"": 5.0, ""max_depth"": 4, ""learning_rate"": 0.05, ""gamma"": 0.0125, ""colsample_bytree"": 0.85}"
B,XGBoost,5,0.3317883254668541,0.013428042675592815,0.333672335339732,0.3309476216565853,28.31816890000482,"{""subsample"": 0.85, ""reg_lambda"": 5.0, ""reg_alpha"": 0.0, ""n_estimators"": 450, ""min_child_weight"": 2.0, ""max_depth"": 5, ""learning_rate"": 0.0625, ""gamma"": 0.0125, ""colsample_bytree"": 0.95}"
B,XGBoost,21,0.3307434295030602,0.026578681208363982,0.33396470099787257,0.30239524154629144,17.397223500011023,"{""subsample"": 0.75, ""reg_lambda"": 10.0, ""reg_alpha"": 0.001, ""n_estimators"": 675, ""min_child_weight"": 3.0, ""max_depth"": 3, ""learning_rate"": 0.025, ""gamma"": 0.05, ""colsample_bytree"": 0.95}"
B,XGBoost,1,0.3297881753696037,0.012065144613971533,0.3313119012198212,0.3048782669125862,26.506417299999157,"{""subsample"": 0.65, ""reg_lambda"": 20.0, ""reg_alpha"": 0.01, ""n_estimators"": 450, ""min_child_weight"": 2.0, ""max_depth"": 5, ""learning_rate"": 0.05, ""gamma"": 0.0125, ""colsample_bytree"": 0.55}"
B,XGBoost,24,0.32800132521170766,0.016740970893413712,0.32896762415311265,0.3214819706522123,46.06250300000829,"{""subsample"": 0.75, ""reg_lambda"": 50.0, ""reg_alpha"": 0.01, ""n_estimators"": 450, ""min_child_weight"": 5.0, ""max_depth"": 6, ""learning_rate"": 0.05, ""gamma"": 0.05, ""colsample_bytree"": 1.0}"
